timestamp,v1(V),i1(A),p1(W),e1(kWh),f1(Hz),pf1,v2(V),i2(A),p2(W),e2(kWh),f2(Hz),pf2,v3(V),i3(A),p3(W),e3(kWh),f3(Hz),pf3,i_n(A)
2026-06-07 22:36:40.293,235.300,27.000,6220.000,0.000,50.000,0.980,235.600,18.880,4428.000,0.000,50.000,1.000,234.000,16.040,3652.000,0.000,50.000,0.970,10.840
2026-06-07 22:36:43.058,235.400,26.880,6192.000,0.005,50.000,0.980,235.600,18.920,4436.000,0.003,50.000,1.000,234.100,16.040,3652.000,0.003,50.000,0.970,10.800
2026-06-07 22:36:45.412,235.300,26.880,6188.000,0.009,50.000,0.980,235.600,18.920,4444.000,0.006,50.000,1.000,234.000,16.080,3656.000,0.005,50.000,0.970,10.800
2026-06-07 22:36:47.663,235.200,26.960,6208.000,0.013,50.000,0.980,235.500,18.920,4436.000,0.009,50.000,1.000,234.000,16.040,3648.000,0.007,50.000,0.970,10.760
2026-06-07 22:36:49.916,235.100,28.280,6412.000,0.017,50.000,0.960,235.500,18.880,4424.000,0.012,50.000,0.990,234.000,16.040,3648.000,0.010,50.000,0.970,10.800
2026-06-07 22:36:52.175,235.100,31.840,7228.000,0.021,50.000,0.970,235.500,18.880,4424.000,0.015,50.000,0.990,234.000,16.040,3644.000,0.012,50.000,0.970,16.400
2026-06-07 22:36:54.453,235.000,31.520,7160.000,0.026,50.000,0.970,235.400,18.880,4428.000,0.017,50.000,1.000,234.000,16.040,3648.000,0.014,50.000,0.970,15.000
2026-06-07 22:36:56.681,235.000,31.520,7160.000,0.030,50.000,0.970,235.500,18.840,4424.000,0.020,50.000,1.000,233.900,16.040,3644.000,0.017,50.000,0.970,15.000
2026-06-07 22:36:58.943,235.000,31.520,7164.000,0.035,50.000,0.970,235.500,18.840,4424.000,0.023,50.000,1.000,233.900,16.040,3644.000,0.019,50.000,0.970,15.040
2026-06-07 22:37:01.646,235.000,31.840,7224.000,0.040,50.000,0.970,235.500,18.840,4424.000,0.026,50.000,1.000,233.900,16.040,3644.000,0.022,50.000,0.970,15.040
2026-06-07 22:37:03.840,235.000,31.960,7256.000,0.045,50.000,0.970,235.400,18.880,4424.000,0.029,50.000,1.000,233.900,16.080,3656.000,0.024,50.000,0.970,15.360
2026-06-07 22:37:05.931,235.000,31.560,7176.000,0.049,50.000,0.970,235.500,18.840,4424.000,0.032,50.000,1.000,233.900,16.080,3656.000,0.026,50.000,0.970,15.120
2026-06-07 22:37:08.152,235.200,28.360,6428.000,0.053,50.000,0.960,235.500,18.880,4424.000,0.034,50.000,0.990,233.900,16.040,3652.000,0.028,50.000,0.970,12.600
2026-06-07 22:37:10.412,235.200,28.240,6404.000,0.057,50.000,0.960,235.500,18.880,4428.000,0.037,50.000,1.000,233.900,16.040,3648.000,0.031,50.000,0.970,12.400
2026-06-07 22:37:12.656,235.200,28.360,6424.000,0.061,50.000,0.960,235.500,18.840,4420.000,0.040,50.000,1.000,233.900,16.080,3652.000,0.033,50.000,0.970,12.560
2026-06-07 22:37:14.912,235.200,28.760,6516.000,0.065,50.000,0.960,235.500,18.880,4424.000,0.043,50.000,0.990,234.000,16.080,3656.000,0.035,50.000,0.970,12.880
2026-06-07 22:37:17.190,235.200,28.160,6388.000,0.069,50.000,0.960,235.500,18.880,4432.000,0.045,50.000,1.000,233.900,16.080,3656.000,0.037,50.000,0.970,12.360
2026-06-07 22:37:22.273,235.300,28.160,6388.000,0.078,50.000,0.960,235.500,18.920,4436.000,0.052,50.000,1.000,233.900,16.080,3656.000,0.043,50.000,0.970,12.280
2026-06-07 22:37:24.709,235.300,28.560,6468.000,0.082,50.000,0.960,235.600,18.960,4444.000,0.055,50.000,0.990,234.000,16.080,3660.000,0.045,50.000,0.970,12.280
2026-06-07 22:37:26.991,235.300,28.000,6344.000,0.086,50.000,0.960,235.600,18.880,4428.000,0.057,50.000,1.000,234.000,16.120,3660.000,0.047,50.000,0.970,12.720
2026-06-07 22:37:29.254,235.200,27.640,6260.000,0.090,50.000,0.960,235.600,18.880,4428.000,0.060,50.000,1.000,233.900,16.120,3664.000,0.050,50.000,0.970,11.840
2026-06-07 22:37:31.483,235.300,27.600,6260.000,0.094,50.000,0.960,235.600,18.880,4428.000,0.063,50.000,1.000,233.900,16.120,3664.000,0.052,50.000,0.970,11.880
2026-06-07 22:37:33.743,235.200,27.600,6252.000,0.098,50.000,0.960,235.600,18.840,4416.000,0.066,50.000,0.990,233.900,16.160,3672.000,0.054,50.000,0.970,11.880
2026-06-07 22:37:36.019,235.300,27.800,6292.000,0.102,50.000,0.960,235.600,18.840,4420.000,0.069,50.000,1.000,233.900,16.160,3672.000,0.057,50.000,0.970,11.880
2026-06-07 22:37:38.748,235.200,28.200,6380.000,0.107,50.000,0.960,235.500,18.840,4424.000,0.072,50.000,1.000,233.900,16.120,3664.000,0.059,50.000,0.970,12.440
2026-06-07 22:37:40.915,235.200,27.800,6300.000,0.111,50.000,0.960,235.600,18.840,4420.000,0.075,50.000,1.000,233.900,16.160,3672.000,0.062,50.000,0.970,12.320
2026-06-07 22:37:43.168,235.200,27.200,6172.000,0.114,50.000,0.960,235.500,18.840,4420.000,0.077,50.000,1.000,233.800,16.160,3672.000,0.064,50.000,0.970,11.920
2026-06-07 22:37:45.435,235.200,26.480,6016.000,0.118,50.000,0.970,235.500,18.840,4420.000,0.080,50.000,1.000,233.800,16.160,3676.000,0.066,50.000,0.970,11.040
2026-06-07 22:37:47.669,235.200,26.520,6024.000,0.122,50.000,0.970,235.500,18.840,4416.000,0.083,50.000,1.000,233.800,16.200,3684.000,0.068,50.000,0.970,11.040
2026-06-07 22:37:49.933,235.200,26.880,6096.000,0.126,50.000,0.960,235.400,18.840,4412.000,0.086,50.000,0.990,233.700,16.160,3672.000,0.071,50.000,0.970,11.080
2026-06-07 22:37:52.194,235.100,26.760,6076.000,0.130,50.000,0.970,235.400,18.840,4416.000,0.088,50.000,1.000,233.600,16.200,3676.000,0.073,50.000,0.970,11.560
2026-06-07 22:37:54.436,235.100,26.280,5976.000,0.133,50.000,0.970,235.400,18.840,4416.000,0.091,50.000,1.000,233.600,16.200,3680.000,0.075,50.000,0.970,11.200
2026-06-07 22:37:56.669,235.100,26.400,6000.000,0.137,50.000,0.970,235.300,18.840,4420.000,0.094,50.000,1.000,233.600,16.120,3660.000,0.078,50.000,0.970,10.880
2026-06-07 22:37:58.963,235.100,26.320,5984.000,0.141,50.000,0.970,235.300,18.880,4424.000,0.097,50.000,1.000,233.500,16.080,3648.000,0.080,50.000,0.970,10.880
2026-06-07 22:38:01.682,235.000,26.560,6028.000,0.145,50.000,0.970,235.200,18.880,4428.000,0.100,50.000,1.000,233.500,16.080,3648.000,0.083,50.000,0.970,11.080
2026-06-07 22:38:04.070,235.000,26.880,6100.000,0.149,50.000,0.970,235.200,18.840,4416.000,0.103,50.000,1.000,233.500,16.080,3648.000,0.085,50.000,0.970,11.360
2026-06-07 22:38:06.328,235.000,26.480,6016.000,0.153,50.000,0.970,235.200,18.840,4416.000,0.106,50.000,1.000,233.500,16.080,3648.000,0.087,50.000,0.970,11.080
2026-06-07 22:38:09.007,235.000,26.480,6012.000,0.158,50.000,0.970,235.200,18.840,4412.000,0.109,50.000,1.000,233.600,16.040,3640.000,0.090,50.000,0.970,11.040
2026-06-07 22:38:11.231,235.100,26.480,6008.000,0.161,50.000,0.970,235.200,18.840,4412.000,0.112,50.000,1.000,233.500,16.040,3640.000,0.092,50.000,0.970,11.000
2026-06-07 22:38:13.482,235.000,26.920,6100.000,0.165,50.000,0.960,235.200,18.840,4416.000,0.115,50.000,1.000,233.600,16.040,3640.000,0.095,50.000,0.970,11.040
2026-06-07 22:38:17.855,235.100,26.680,6056.000,0.173,50.000,0.970,235.200,18.880,4416.000,0.120,50.000,0.990,233.600,16.040,3640.000,0.099,50.000,0.970,11.520
2026-06-07 22:38:20.029,235.000,26.400,5992.000,0.176,50.000,0.970,235.200,18.840,4416.000,0.123,50.000,1.000,233.600,16.000,3636.000,0.101,50.000,0.970,10.960
2026-06-07 22:38:22.285,235.000,26.400,5992.000,0.180,50.000,0.970,235.200,18.840,4412.000,0.125,50.000,1.000,233.700,16.000,3636.000,0.104,50.000,0.970,11.000
2026-06-07 22:38:24.541,235.000,26.440,6000.000,0.184,50.000,0.970,235.100,18.880,4416.000,0.128,50.000,0.990,233.600,16.000,3636.000,0.106,49.900,0.970,10.960
2026-06-07 22:38:26.787,235.000,27.040,6132.000,0.188,50.000,0.970,235.200,18.840,4412.000,0.131,50.000,1.000,233.500,16.000,3632.000,0.108,50.000,0.970,11.520
2026-06-07 22:38:29.240,234.900,26.520,6020.000,0.192,50.000,0.970,235.100,18.840,4412.000,0.134,50.000,1.000,233.500,15.960,3620.000,0.111,49.900,0.970,11.320
2026-06-07 22:38:31.522,234.900,26.400,5988.000,0.195,50.000,0.970,235.100,18.840,4416.000,0.137,50.000,1.000,233.400,15.680,3560.000,0.113,50.000,0.970,11.000
2026-06-07 22:38:33.957,234.900,26.400,5988.000,0.200,50.000,0.970,235.100,18.880,4424.000,0.140,50.000,1.000,233.400,15.680,3556.000,0.115,50.000,0.970,10.920
2026-06-07 22:38:36.216,234.900,26.520,6016.000,0.203,50.000,0.970,235.100,18.880,4424.000,0.142,50.000,1.000,233.500,15.640,3552.000,0.117,50.000,0.970,10.960
2026-06-07 22:38:38.498,234.800,26.880,6092.000,0.207,50.000,0.970,235.100,18.920,4428.000,0.145,50.000,1.000,233.400,15.640,3552.000,0.120,50.000,0.970,11.080
2026-06-07 22:38:40.712,234.800,26.600,6036.000,0.211,50.000,0.970,235.000,18.840,4416.000,0.148,50.000,1.000,233.400,15.600,3544.000,0.122,50.000,0.970,11.360
2026-06-07 22:38:42.962,234.800,26.400,5984.000,0.215,50.000,0.970,235.000,18.840,4412.000,0.151,50.000,1.000,233.400,15.640,3544.000,0.124,50.000,0.970,11.040
2026-06-07 22:38:45.221,234.700,26.400,5988.000,0.218,50.000,0.970,235.000,18.840,4408.000,0.153,50.000,1.000,233.400,15.640,3552.000,0.126,49.900,0.970,10.960
2026-06-07 22:38:47.505,234.700,26.360,5980.000,0.222,50.000,0.970,235.000,18.840,4408.000,0.156,50.000,1.000,233.400,15.680,3552.000,0.129,49.900,0.970,11.000
2026-06-07 22:38:49.742,234.800,26.720,6052.000,0.226,50.000,0.960,235.000,18.840,4408.000,0.159,50.000,1.000,233.400,15.640,3552.000,0.131,49.900,0.970,10.960
2026-06-07 22:38:52.207,234.800,26.760,6064.000,0.230,50.000,0.970,235.000,18.840,4412.000,0.162,49.900,1.000,233.500,15.680,3556.000,0.133,49.900,0.970,11.160
